elect_dist,year,type,office,total_votes,carson_prop,cruz_prop,kasich_prop,trump_prop,carson_tot,cruz_tot,kasich_tot,trump_tot
61054,2016,rep primary,pres,16,0,0,0.1875,0.8125,0,0,3,13
61055,2016,rep primary,pres,7,0.14285714285714285,0,0.14285714285714285,0.7142857142857143,1,0,1,5
61056,2016,rep primary,pres,23,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.7391304347826086,1,1,4,17
61057,2016,rep primary,pres,53,0,0.16981132075471697,0.18867924528301888,0.6415094339622641,0,9,10,34
61058,2016,rep primary,pres,2,0,0,0,1,0,0,0,2
61059,2016,rep primary,pres,6,0.16666666666666666,0.5,0.3333333333333333,0,1,3,2,0
61060,2016,rep primary,pres,32,0.03125,0.34375,0.03125,0.59375,1,11,1,19
61061,2016,rep primary,pres,2,0,0.5,0,0.5,0,1,0,1
61062,2016,rep primary,pres,66,0,0.06060606060606061,0.10606060606060606,0.8333333333333334,0,4,7,55
61063,2016,rep primary,pres,23,0,0.043478260869565216,0.13043478260869565,0.8260869565217391,0,1,3,19
61064,2016,rep primary,pres,19,0,0.10526315789473684,0.21052631578947367,0.6842105263157895,0,2,4,13
61065,2016,rep primary,pres,17,0,0.058823529411764705,0.11764705882352941,0.8235294117647058,0,1,2,14
61066,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
61067,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
61068,2016,rep primary,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
61069,2016,rep primary,pres,14,0,0.14285714285714285,0.07142857142857142,0.7857142857142857,0,2,1,11
61070,2016,rep primary,pres,3,0,0.6666666666666666,0.3333333333333333,0,0,2,1,0
62001,2016,rep primary,pres,215,0,0.027906976744186046,0.05116279069767442,0.9209302325581395,0,6,11,198
62002,2016,rep primary,pres,220,0.013636363636363636,0.07727272727272727,0.13636363636363635,0.7727272727272727,3,17,30,170
62003,2016,rep primary,pres,171,0,0.05263157894736842,0.07017543859649122,0.8771929824561403,0,9,12,150
62004,2016,rep primary,pres,153,0.013071895424836602,0.06535947712418301,0.11764705882352941,0.803921568627451,2,10,18,123
62005,2016,rep primary,pres,218,0,0.03211009174311927,0.05963302752293578,0.908256880733945,0,7,13,198
62006,2016,rep primary,pres,128,0.0078125,0.0703125,0.1015625,0.8203125,1,9,13,105
62007,2016,rep primary,pres,132,0,0.11363636363636363,0.07575757575757576,0.8106060606060606,0,15,10,107
62008,2016,rep primary,pres,191,0,0.05759162303664921,0.11518324607329843,0.8272251308900523,0,11,22,158
62009,2016,rep primary,pres,99,0.010101010101010102,0.06060606060606061,0.0707070707070707,0.8585858585858586,1,6,7,85
62010,2016,rep primary,pres,95,0,0.06315789473684211,0.031578947368421054,0.9052631578947369,0,6,3,86
62011,2016,rep primary,pres,164,0,0.06097560975609756,0.1524390243902439,0.7865853658536586,0,10,25,129
62012,2016,rep primary,pres,138,0.007246376811594203,0.043478260869565216,0.07971014492753623,0.8695652173913043,1,6,11,120
62013,2016,rep primary,pres,175,0,0.03428571428571429,0.10857142857142857,0.8571428571428571,0,6,19,150
62014,2016,rep primary,pres,129,0,0.03875968992248062,0.06201550387596899,0.8992248062015504,0,5,8,116
62015,2016,rep primary,pres,129,0.015503875968992248,0.031007751937984496,0.06976744186046512,0.8837209302325582,2,4,9,114
62016,2016,rep primary,pres,110,0,0.09090909090909091,0.10909090909090909,0.8,0,10,12,88
62017,2016,rep primary,pres,165,0,0.09696969696969697,0.09696969696969697,0.806060606060606,0,16,16,133
62018,2016,rep primary,pres,159,0,0.03773584905660377,0.05660377358490566,0.9056603773584906,0,6,9,144
62019,2016,rep primary,pres,180,0.005555555555555556,0.03888888888888889,0.07777777777777778,0.8777777777777778,1,7,14,158
62020,2016,rep primary,pres,153,0,0.0392156862745098,0.05228758169934641,0.9084967320261438,0,6,8,139
