elect_dist,year,type,office,total_votes,clinton_prop,johnson_prop,stein_prop,trump_prop,clinton_tot,johnson_tot,stein_tot,trump_tot
47041,2016,general,pres,454,0.4955947136563877,0,0.00881057268722467,0.4955947136563877,225,0,4,225
47048,2016,general,pres,445,0.42247191011235957,0,0.015730337078651686,0.5617977528089888,188,0,7,250
47049,2016,general,pres,413,0.43099273607748184,0,0.009685230024213076,0.559322033898305,178,0,4,231
47053,2016,general,pres,337,0.9080118694362018,0,0.01483679525222552,0.0771513353115727,306,0,5,26
47054,2016,general,pres,324,0.9475308641975309,0,0.006172839506172839,0.046296296296296294,307,0,2,15
47055,2016,general,pres,453,0.5584988962472406,0,0.019867549668874173,0.4216335540838852,253,0,9,191
47056,2016,general,pres,342,0.5116959064327485,0,0.014619883040935672,0.47368421052631576,175,0,5,162
47057,2016,general,pres,444,0.4572072072072072,0,0.006756756756756757,0.536036036036036,203,0,3,238
47058,2016,general,pres,298,0.3523489932885906,0,0.003355704697986577,0.6442953020134228,105,0,1,192
47059,2016,general,pres,441,0.3854875283446712,0,0.011337868480725623,0.6031746031746031,170,0,5,266
47060,2016,general,pres,143,0.5104895104895105,0,0,0.48951048951048953,73,0,0,70
47061,2016,general,pres,355,0.6253521126760564,0,0.014084507042253521,0.36056338028169016,222,0,5,128
47062,2016,general,pres,408,0.49264705882352944,0,0.01715686274509804,0.49019607843137253,201,0,7,200
47063,2016,general,pres,513,0.5419103313840156,0,0.01949317738791423,0.43859649122807015,278,0,10,225
47064,2016,general,pres,433,0.5196304849884527,0,0.023094688221709007,0.45727482678983833,225,0,10,198
47065,2016,general,pres,421,0.49406175771971494,0,0.021377672209026127,0.4845605700712589,208,0,9,204
47066,2016,general,pres,191,0.41361256544502617,0,0.02617801047120419,0.5602094240837696,79,0,5,107
47067,2016,general,pres,268,0.5223880597014925,0,0.011194029850746268,0.4664179104477612,140,0,3,125
47068,2016,general,pres,119,0.5210084033613446,0,0.008403361344537815,0.47058823529411764,62,0,1,56
49036,2016,general,pres,169,0.5621301775147929,0,0.011834319526627219,0.4260355029585799,95,0,2,72
49044,2016,general,pres,176,0.5,0,0,0.5,88,0,0,88
49045,2016,general,pres,170,0.4294117647058823,0,0.023529411764705882,0.5470588235294118,73,0,4,93
49047,2016,general,pres,442,0.6945701357466063,0,0.027149321266968326,0.27828054298642535,307,0,12,123
49048,2016,general,pres,566,0.47703180212014135,0,0.0088339222614841,0.5141342756183745,270,0,5,291
49049,2016,general,pres,471,0.535031847133758,0,0.014861995753715499,0.45010615711252655,252,0,7,212
49050,2016,general,pres,631,0.5641838351822503,0,0.014263074484944533,0.4215530903328051,356,0,9,266
49051,2016,general,pres,449,0.5256124721603563,0,0.015590200445434299,0.45879732739420936,236,0,7,206
49052,2016,general,pres,657,0.4855403348554033,0,0.015220700152207,0.4992389649923896,319,0,10,328
49053,2016,general,pres,600,0.44166666666666665,0,0.0033333333333333335,0.555,265,0,2,333
49054,2016,general,pres,368,0.4266304347826087,0,0.021739130434782608,0.5516304347826086,157,0,8,203
49063,2016,general,pres,374,0.3689839572192513,0,0.0106951871657754,0.6203208556149733,138,0,4,232
49065,2016,general,pres,0,NaN,NaN,NaN,NaN,0,0,0,0
51059,2016,general,pres,675,0.7540740740740741,0,0.017777777777777778,0.22814814814814816,509,0,12,154
61001,2016,general,pres,788,0.8197969543147208,0,0.03426395939086294,0.14593908629441624,646,0,27,115
61002,2016,general,pres,387,0.9276485788113695,0,0.002583979328165375,0.06976744186046512,359,0,1,27
61003,2016,general,pres,839,0.8104886769964244,0,0.03575685339690107,0.1537544696066746,680,0,30,129
61004,2016,general,pres,784,0.7461734693877551,0,0.01913265306122449,0.23469387755102042,585,0,15,184
61005,2016,general,pres,552,0.8496376811594203,0,0.036231884057971016,0.11413043478260869,469,0,20,63
61006,2016,general,pres,625,0.7296,0,0.0144,0.256,456,0,9,160
61007,2016,general,pres,570,0.9228070175438596,0,0.012280701754385965,0.06491228070175438,526,0,7,37
61008,2016,general,pres,612,0.9248366013071896,0,0.016339869281045753,0.058823529411764705,566,0,10,36
61009,2016,general,pres,619,0.7835218093699515,0,0.0210016155088853,0.19547657512116318,485,0,13,121
61010,2016,general,pres,704,0.7826704545454546,0,0.029829545454545456,0.1875,551,0,21,132
61011,2016,general,pres,494,0.7145748987854251,0,0.022267206477732792,0.2631578947368421,353,0,11,130
61012,2016,general,pres,835,0.5664670658682635,0,0.02035928143712575,0.41317365269461076,473,0,17,345
61013,2016,general,pres,564,0.7375886524822695,0,0.01950354609929078,0.2429078014184397,416,0,11,137
61014,2016,general,pres,604,0.5662251655629139,0,0.014900662251655629,0.41887417218543044,342,0,9,253
61015,2016,general,pres,711,0.6582278481012658,0,0.015471167369901548,0.3263009845288326,468,0,11,232
