elect_dist,year,type,office,total_votes,mcmahon_tot,straniere_tot,mcmahon_prop,straniere_prop
60098,2008,general,congress,438,290,117,0.6621004566210046,0.2671232876712329
60099,2008,general,congress,268,133,110,0.4962686567164179,0.41044776119402987
60100,2008,general,congress,513,168,292,0.32748538011695905,0.5692007797270955
60101,2008,general,congress,475,181,251,0.38105263157894737,0.5284210526315789
60102,2008,general,congress,472,258,175,0.5466101694915254,0.3707627118644068
60103,2008,general,congress,483,266,181,0.5507246376811594,0.3747412008281574
60104,2008,general,congress,429,256,125,0.5967365967365967,0.2913752913752914
60105,2008,general,congress,575,277,241,0.4817391304347826,0.4191304347826087
60106,2008,general,congress,504,208,243,0.4126984126984127,0.48214285714285715
60107,2008,general,congress,397,221,134,0.5566750629722922,0.33753148614609574
60108,2008,general,congress,548,269,230,0.4908759124087591,0.4197080291970803
60109,2008,general,congress,470,286,149,0.6085106382978723,0.3170212765957447
60110,2008,general,congress,0,0,0,NaN,NaN
60111,2008,general,congress,0,0,0,NaN,NaN
60001,2008,general,congress,587,317,199,0.5400340715502555,0.3390119250425894
60002,2008,general,congress,483,224,209,0.463768115942029,0.432712215320911
60004,2008,general,congress,839,447,327,0.532777115613826,0.38974970202622167
60006,2008,general,congress,596,294,248,0.49328859060402686,0.4161073825503356
60007,2008,general,congress,365,163,181,0.4465753424657534,0.4958904109589041
60008,2008,general,congress,526,257,213,0.48859315589353614,0.4049429657794677
60009,2008,general,congress,346,171,152,0.49421965317919075,0.4393063583815029
60010,2008,general,congress,497,154,306,0.30985915492957744,0.6156941649899397
