elect_dist,total_votes_12_adj,obama_tot_adj,romney_tot_adj,obama_prop_adj,romney_prop_adj
63035,636,248,374,0.389937106918239,0.5880503144654088
63036,667,306,349,0.4587706146926537,0.5232383808095952
63037,673,487,178,0.7236255572065379,0.26448736998514116
63038,626,483,135,0.7715654952076677,0.21565495207667731
63039,638,528,98,0.8275862068965517,0.1536050156739812
63040,443,378,61,0.8532731376975169,0.13769751693002258
63041,396,381,12,0.9621212121212122,0.030303030303030304
63042,611,595,15,0.9738134206219312,0.024549918166939442
63043,676,629,44,0.9304733727810651,0.0650887573964497
63044,401,368,33,0.9177057356608479,0.08229426433915212
63045,528,502,22,0.9507575757575758,0.041666666666666664
63046,564,387,171,0.6861702127659575,0.30319148936170215
63047,679,273,395,0.4020618556701031,0.5817378497790869
63048,606,152,443,0.2508250825082508,0.731023102310231
63049,626,205,413,0.3274760383386581,0.6597444089456869
63050,683,335,341,0.4904831625183016,0.4992679355783309
63051,542,198,338,0.36531365313653136,0.6236162361623616
63052,418,158,258,0.37799043062200954,0.6172248803827751
63053,428,224,199,0.5233644859813084,0.4649532710280374
63054,632,357,273,0.564873417721519,0.4319620253164557
63055,517,269,244,0.5203094777562862,0.47195357833655704
63056,570,300,259,0.5263157894736842,0.4543859649122807
63057,803,308,481,0.3835616438356164,0.5990037359900373
63058,717,269,436,0.37517433751743373,0.6080892608089261
63059,696,310,378,0.4454022988505747,0.5431034482758621
63060,664,336,310,0.5060240963855421,0.46686746987951805
63061,569,297,259,0.5219683655536028,0.45518453427065025
63062,135,60,71,0.4444444444444444,0.5259259259259259
63063,642,258,374,0.40186915887850466,0.5825545171339563
63064,690,265,417,0.38405797101449274,0.6043478260869565
63065,606,286,313,0.47194719471947194,0.5165016501650165
63066,571,258,306,0.45183887915936954,0.5359019264448336
63067,485,184,295,0.37938144329896906,0.6082474226804123
63068,630,448,178,0.7111111111111111,0.28253968253968254
63069,404,225,175,0.556930693069307,0.43316831683168316
63070,347,162,182,0.4668587896253602,0.5244956772334294
63071,435,391,41,0.8988505747126436,0.09425287356321839
63072,560,262,286,0.46785714285714286,0.5107142857142857
63073,524,252,265,0.48091603053435117,0.5057251908396947
63074,558,251,296,0.449820788530466,0.5304659498207885
63075,136,93,41,0.6838235294117647,0.3014705882352941
63081,383,197,180,0.5143603133159269,0.4699738903394256
64001,564,187,367,0.33156028368794327,0.650709219858156
64002,653,198,445,0.30321592649310875,0.6814701378254211
64003,688,220,461,0.31976744186046513,0.6700581395348837
64004,585,201,376,0.3435897435897436,0.6427350427350428
64005,670,269,394,0.4014925373134328,0.5880597014925373
64006,622,230,391,0.36977491961414793,0.6286173633440515
64007,652,184,463,0.2822085889570552,0.7101226993865031
64008,666,224,433,0.33633633633633636,0.6501501501501501
64009,658,247,401,0.37537993920972645,0.6094224924012158
64010,685,234,444,0.3416058394160584,0.6481751824817519
64011,257,77,176,0.29961089494163423,0.6848249027237354
64012,451,145,299,0.3215077605321508,0.6629711751662971
64013,299,137,154,0.45819397993311034,0.5150501672240803
64014,561,222,332,0.39572192513368987,0.5918003565062389
64015,644,192,448,0.2981366459627329,0.6956521739130435
64016,702,239,453,0.34045584045584043,0.6452991452991453
64017,675,254,406,0.3762962962962963,0.6014814814814815
64018,475,207,260,0.4357894736842105,0.5473684210526316
64019,380,245,132,0.6447368421052632,0.3473684210526316
64020,516,228,285,0.4418604651162791,0.5523255813953488
64021,418,185,227,0.44258373205741625,0.5430622009569378
64022,622,257,353,0.41318327974276525,0.567524115755627
64023,634,251,367,0.39589905362776023,0.5788643533123028
64024,494,214,273,0.4331983805668016,0.5526315789473685
64025,446,207,236,0.4641255605381166,0.5291479820627802
64026,609,247,357,0.40558292282430214,0.5862068965517241
64027,392,160,227,0.40816326530612246,0.5790816326530612
64028,360,164,189,0.45555555555555555,0.525
64029,524,225,287,0.42938931297709926,0.5477099236641222
64030,431,184,243,0.42691415313225056,0.5638051044083526
64031,537,261,274,0.4860335195530726,0.5102420856610801
64032,588,277,306,0.4710884353741497,0.5204081632653061
64033,526,198,323,0.376425855513308,0.6140684410646388
64034,558,266,286,0.4767025089605735,0.5125448028673835
64035,668,254,407,0.38023952095808383,0.6092814371257484
64036,647,304,333,0.46986089644513135,0.5146831530139103
64037,459,171,283,0.37254901960784315,0.616557734204793
64038,404,220,180,0.5445544554455446,0.44554455445544555
