ElectionID,OfficeCode,BoroughCode,PoliticalDistrict,AD,ED,ElectionName,OfficeTitle,BoroName,EDused,NumofCandidates,VoteforNum,DistFormatted,PubCounter,AbsenteeMil,Federal,Emergency,Affidavit,TotForOffice,Scattered,Unrecorded,PartyName1,CandName1,CandVotes1,PartyName2,CandName2,CandVotes2,PartyName3,CandName3,CandVotes3,PartyName4,CandName4,CandVotes4,PartyName5,CandName5,CandVotes5,ADED,PluralCong12,PluralCongVotes,GrimmTot,MurphyTot
2012G,20,3,11,46,039,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    39th,430,9,2,0,55,370,0,126,Democratic,Mark S. Murphy,188,Republican,Michael G. Grimm,164,Conservative,Michael G. Grimm,8,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,3,46039,1,195,172,195
2012G,20,3,11,46,040,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    40th,93,1,0,0,18,96,0,16,Democratic,Mark S. Murphy,51,Republican,Michael G. Grimm,32,Conservative,Michael G. Grimm,3,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,3,46040,1,58,35,58
2012G,20,3,11,46,041,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    41st,0,0,1,0,0,1,0,0,Democratic,Mark S. Murphy,1,Republican,Michael G. Grimm,0,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46041,1,1,0,1
2012G,20,3,11,46,047,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    47th,0,0,0,0,0,0,0,0,Democratic,Mark S. Murphy,0,Republican,Michael G. Grimm,0,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46047,0,0,0,0
2012G,20,3,11,46,048,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    48th,522,13,6,0,59,509,0,91,Democratic,Mark S. Murphy,295,Republican,Michael G. Grimm,161,Conservative,Michael G. Grimm,29,Working Families,Mark S. Murphy,14,Green,Henry J. Bardel,10,46048,1,309,190,309
2012G,20,3,11,46,049,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    49th,684,13,1,0,41,651,0,88,Democratic,Mark S. Murphy,374,Republican,Michael G. Grimm,194,Conservative,Michael G. Grimm,45,Working Families,Mark S. Murphy,28,Green,Henry J. Bardel,10,46049,1,402,239,402
2012G,20,3,11,46,050,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    50th,660,20,2,0,33,636,0,79,Democratic,Mark S. Murphy,280,Republican,Michael G. Grimm,285,Conservative,Michael G. Grimm,48,Working Families,Mark S. Murphy,16,Green,Henry J. Bardel,7,46050,2,333,333,296
2012G,20,3,11,46,051,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    51st,576,29,4,0,35,587,0,57,Democratic,Mark S. Murphy,225,Republican,Michael G. Grimm,294,Conservative,Michael G. Grimm,48,Working Families,Mark S. Murphy,15,Green,Henry J. Bardel,5,46051,2,342,342,240
2012G,20,3,11,46,052,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    52nd,664,18,4,0,66,586,0,166,Democratic,Mark S. Murphy,272,Republican,Michael G. Grimm,256,Conservative,Michael G. Grimm,39,Working Families,Mark S. Murphy,12,Green,Henry J. Bardel,7,46052,2,295,295,284
2012G,20,3,11,46,053,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    53rd,558,19,9,0,43,553,0,76,Democratic,Mark S. Murphy,276,Republican,Michael G. Grimm,217,Conservative,Michael G. Grimm,36,Working Families,Mark S. Murphy,14,Green,Henry J. Bardel,10,46053,1,290,253,290
2012G,20,3,11,46,054,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    54th,632,18,3,0,40,599,0,94,Democratic,Mark S. Murphy,341,Republican,Michael G. Grimm,184,Conservative,Michael G. Grimm,36,Working Families,Mark S. Murphy,25,Green,Henry J. Bardel,13,46054,1,366,220,366
2012G,20,3,11,46,055,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    55th,484,20,9,0,58,493,0,78,Democratic,Mark S. Murphy,303,Republican,Michael G. Grimm,140,Conservative,Michael G. Grimm,28,Working Families,Mark S. Murphy,12,Green,Henry J. Bardel,10,46055,1,315,168,315
2012G,20,3,11,46,056,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    56th,566,8,6,0,44,553,0,71,Democratic,Mark S. Murphy,333,Republican,Michael G. Grimm,159,Conservative,Michael G. Grimm,29,Working Families,Mark S. Murphy,21,Green,Henry J. Bardel,11,46056,1,354,188,354
2012G,20,3,11,46,057,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    57th,613,18,2,0,50,627,0,56,Democratic,Mark S. Murphy,318,Republican,Michael G. Grimm,234,Conservative,Michael G. Grimm,32,Working Families,Mark S. Murphy,27,Green,Henry J. Bardel,16,46057,1,345,266,345
2012G,20,3,11,46,058,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    58th,499,5,3,0,58,489,0,76,Democratic,Mark S. Murphy,291,Republican,Michael G. Grimm,140,Conservative,Michael G. Grimm,23,Working Families,Mark S. Murphy,24,Green,Henry J. Bardel,11,46058,1,315,163,315
2012G,20,3,11,46,059,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    59th,503,18,5,0,34,492,0,68,Democratic,Mark S. Murphy,296,Republican,Michael G. Grimm,137,Conservative,Michael G. Grimm,37,Working Families,Mark S. Murphy,16,Green,Henry J. Bardel,6,46059,1,312,174,312
2012G,20,3,11,46,060,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    60th,626,25,4,0,50,634,0,71,Democratic,Mark S. Murphy,328,Republican,Michael G. Grimm,240,Conservative,Michael G. Grimm,43,Working Families,Mark S. Murphy,16,Green,Henry J. Bardel,7,46060,1,344,283,344
2012G,20,3,11,46,061,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    61st,669,29,4,0,64,697,0,69,Democratic,Mark S. Murphy,380,Republican,Michael G. Grimm,245,Conservative,Michael G. Grimm,36,Working Families,Mark S. Murphy,22,Green,Henry J. Bardel,14,46061,1,402,281,402
2012G,20,3,11,46,062,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    62nd,648,28,2,0,63,673,0,68,Democratic,Mark S. Murphy,406,Republican,Michael G. Grimm,219,Conservative,Michael G. Grimm,29,Working Families,Mark S. Murphy,12,Green,Henry J. Bardel,7,46062,1,418,248,418
2012G,20,3,11,46,063,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    63rd,558,16,5,0,52,554,0,77,Democratic,Mark S. Murphy,352,Republican,Michael G. Grimm,148,Conservative,Michael G. Grimm,16,Working Families,Mark S. Murphy,27,Green,Henry J. Bardel,11,46063,1,379,164,379
2012G,20,3,11,46,064,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    64th,676,22,10,0,43,675,0,76,Democratic,Mark S. Murphy,343,Republican,Michael G. Grimm,249,Conservative,Michael G. Grimm,47,Working Families,Mark S. Murphy,23,Green,Henry J. Bardel,13,46064,1,366,296,366
2012G,20,3,11,46,065,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    65th,666,23,2,0,53,658,0,86,Democratic,Mark S. Murphy,369,Republican,Michael G. Grimm,210,Conservative,Michael G. Grimm,53,Working Families,Mark S. Murphy,19,Green,Henry J. Bardel,7,46065,1,388,263,388
2012G,20,3,11,46,066,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    66th,543,10,1,0,50,526,0,78,Democratic,Mark S. Murphy,273,Republican,Michael G. Grimm,203,Conservative,Michael G. Grimm,27,Working Families,Mark S. Murphy,15,Green,Henry J. Bardel,8,46066,1,288,230,288
2012G,20,3,11,46,067,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    67th,553,12,0,0,24,541,0,48,Democratic,Mark S. Murphy,182,Republican,Michael G. Grimm,306,Conservative,Michael G. Grimm,40,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,6,46067,2,346,346,189
2012G,20,3,11,46,068,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    68th,525,18,3,1,31,510,0,68,Democratic,Mark S. Murphy,181,Republican,Michael G. Grimm,265,Conservative,Michael G. Grimm,49,Working Families,Mark S. Murphy,14,Green,Henry J. Bardel,1,46068,2,314,314,195
2012G,20,3,11,46,069,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    69th,626,22,1,0,25,609,1,65,Democratic,Mark S. Murphy,222,Republican,Michael G. Grimm,323,Conservative,Michael G. Grimm,49,Working Families,Mark S. Murphy,11,Green,Henry J. Bardel,3,46069,2,372,372,233
2012G,20,3,11,46,070,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    70th,593,15,3,0,22,557,3,76,Democratic,Mark S. Murphy,143,Republican,Michael G. Grimm,360,Conservative,Michael G. Grimm,45,Working Families,Mark S. Murphy,5,Green,Henry J. Bardel,1,46070,2,405,405,148
2012G,20,3,11,46,071,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    71st,564,16,7,0,50,563,0,74,Democratic,Mark S. Murphy,193,Republican,Michael G. Grimm,313,Conservative,Michael G. Grimm,40,Working Families,Mark S. Murphy,11,Green,Henry J. Bardel,6,46071,2,353,353,204
2012G,20,3,11,46,072,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    72nd,542,27,5,0,66,566,0,74,Democratic,Mark S. Murphy,278,Republican,Michael G. Grimm,241,Conservative,Michael G. Grimm,32,Working Families,Mark S. Murphy,12,Green,Henry J. Bardel,3,46072,1,290,273,290
2012G,20,3,11,46,073,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    73rd,471,10,4,0,23,435,2,73,Democratic,Mark S. Murphy,193,Republican,Michael G. Grimm,205,Conservative,Michael G. Grimm,22,Working Families,Mark S. Murphy,10,Green,Henry J. Bardel,3,46073,2,227,227,203
2012G,20,3,11,46,074,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    74th,229,0,0,0,11,208,0,32,Democratic,Mark S. Murphy,95,Republican,Michael G. Grimm,93,Conservative,Michael G. Grimm,18,Working Families,Mark S. Murphy,2,Green,Henry J. Bardel,0,46074,2,111,111,97
2012G,20,3,11,46,075,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    75th,528,32,4,0,42,552,1,54,Democratic,Mark S. Murphy,290,Republican,Michael G. Grimm,209,Conservative,Michael G. Grimm,33,Working Families,Mark S. Murphy,13,Green,Henry J. Bardel,6,46075,1,303,242,303
2012G,20,3,11,46,076,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    76th,0,0,0,0,0,0,0,0,Democratic,Mark S. Murphy,0,Republican,Michael G. Grimm,0,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46076,0,0,0,0
2012G,20,3,11,46,078,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    78th,0,0,0,0,0,0,0,0,Democratic,Mark S. Murphy,0,Republican,Michael G. Grimm,0,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46078,0,0,0,0
2012G,20,3,11,46,079,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    79th,0,0,0,0,0,0,0,0,Democratic,Mark S. Murphy,0,Republican,Michael G. Grimm,0,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46079,0,0,0,0
2012G,20,3,11,46,080,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    80th,0,0,1,0,0,1,0,0,Democratic,Mark S. Murphy,1,Republican,Michael G. Grimm,0,Conservative,Michael G. Grimm,0,Working Families,Mark S. Murphy,0,Green,Henry J. Bardel,0,46080,1,1,0,1
2012G,20,3,11,46,081,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    81st,498,28,6,0,38,506,0,64,Democratic,Mark S. Murphy,198,Republican,Michael G. Grimm,263,Conservative,Michael G. Grimm,30,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,8,46081,2,293,293,205
2012G,20,3,11,47,001,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,     1st,403,15,0,0,46,392,1,72,Democratic,Mark S. Murphy,174,Republican,Michael G. Grimm,185,Conservative,Michael G. Grimm,26,Working Families,Mark S. Murphy,3,Green,Henry J. Bardel,3,47001,2,211,211,177
2012G,20,3,11,47,002,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,     2nd,386,15,6,0,51,376,0,82,Democratic,Mark S. Murphy,193,Republican,Michael G. Grimm,147,Conservative,Michael G. Grimm,25,Working Families,Mark S. Murphy,8,Green,Henry J. Bardel,3,47002,1,201,172,201
2012G,20,3,11,47,005,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,     5th,374,5,1,0,32,343,0,69,Democratic,Mark S. Murphy,181,Republican,Michael G. Grimm,134,Conservative,Michael G. Grimm,16,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,5,47005,1,188,150,188
